fic,date,country,currency,mportret,mportretx
JPN,2012-12-28,JAPAN,JPY,0.0922898825,0.0909510618
JPN,2013-01-31,JAPAN,JPY,0.0954324919,0.0953303047
JPN,2013-02-28,JAPAN,JPY,0.0397006159,0.039216835
JPN,2013-03-29,JAPAN,JPY,0.0758578169,0.065952611
JPN,2013-04-30,JAPAN,JPY,0.1234464902,0.1233933146
JPN,2013-05-31,JAPAN,JPY,-0.025445857,-0.025540521
JPN,2013-06-28,JAPAN,JPY,-0.002419798,-0.003268775
JPN,2013-07-31,JAPAN,JPY,0.0000120508,-0.000079012
JPN,2013-08-30,JAPAN,JPY,-0.022992053,-0.023373774
JPN,2013-09-30,JAPAN,JPY,0.0892413444,0.0818176695
JPN,2013-10-31,JAPAN,JPY,-0.001404323,-0.001467127
JPN,2013-11-29,JAPAN,JPY,0.0518455244,0.0517576771
JPN,2013-12-30,JAPAN,JPY,0.035788361,0.0348515322
JPN,2014-01-31,JAPAN,JPY,-0.056903482,-0.056979658
JPN,2014-02-28,JAPAN,JPY,-0.00638513,-0.006794616
JPN,2014-03-31,JAPAN,JPY,0.0014375911,-0.008271797
JPN,2014-04-30,JAPAN,JPY,-0.031820094,-0.031862471
JPN,2014-05-30,JAPAN,JPY,0.0340657114,0.0339487434
JPN,2014-06-30,JAPAN,JPY,0.0514137793,0.050584608
JPN,2014-07-31,JAPAN,JPY,0.0220037354,0.0219078388
JPN,2014-08-29,JAPAN,JPY,-0.008005579,-0.008377817
JPN,2014-09-30,JAPAN,JPY,0.0421763571,0.0349433519
JPN,2014-10-31,JAPAN,JPY,0.0049108417,0.0048426927
JPN,2014-11-28,JAPAN,JPY,0.0549576565,0.0548734437
JPN,2014-12-30,JAPAN,JPY,0.0011082868,-0.000200741
JPN,2015-01-30,JAPAN,JPY,0.0080289292,0.0079431147
JPN,2015-02-27,JAPAN,JPY,0.0729616859,0.0725625567
JPN,2015-03-31,JAPAN,JPY,0.0223039115,0.0139451416
JPN,2015-04-30,JAPAN,JPY,0.0289534425,0.0289132819
JPN,2015-05-29,JAPAN,JPY,0.0483630615,0.048266334
JPN,2015-06-30,JAPAN,JPY,-0.021261034,-0.022209163
JPN,2015-07-31,JAPAN,JPY,0.0209432131,0.0208592819
JPN,2015-08-31,JAPAN,JPY,-0.073532838,-0.073860817
JPN,2015-09-30,JAPAN,JPY,-0.071491121,-0.078302034
JPN,2015-10-30,JAPAN,JPY,0.0998356502,0.0997693126
JPN,2015-11-30,JAPAN,JPY,0.0178958119,0.0178157182
JPN,2015-12-30,JAPAN,JPY,-0.017841775,-0.019177016
JPN,2016-01-29,JAPAN,JPY,-0.066604643,-0.066691029
JPN,2016-02-29,JAPAN,JPY,-0.086894014,-0.0873134
JPN,2016-03-31,JAPAN,JPY,0.0482186371,0.0386394084
JPN,2016-04-28,JAPAN,JPY,-0.006295885,-0.006344818
JPN,2016-05-31,JAPAN,JPY,0.0295095248,0.0292841259
JPN,2016-06-30,JAPAN,JPY,-0.089899921,-0.09123566
JPN,2016-07-29,JAPAN,JPY,0.0581570067,0.0580380153
JPN,2016-08-31,JAPAN,JPY,-0.000382073,-0.00081806
JPN,2016-09-30,JAPAN,JPY,0.0057533899,-0.002414652
JPN,2016-10-31,JAPAN,JPY,0.0492561418,0.0491796079
JPN,2016-11-30,JAPAN,JPY,0.0493347459,0.0492327534
JPN,2016-12-30,JAPAN,JPY,0.0362026396,0.0347754026
JPN,2017-01-31,JAPAN,JPY,0.0010248384,0.0008019464
JPN,2017-02-28,JAPAN,JPY,0.0094864577,0.0087989266
JPN,2017-03-31,JAPAN,JPY,-0.004070829,-0.013350814
JPN,2017-04-28,JAPAN,JPY,0.0116622852,0.0116113019
JPN,2017-05-31,JAPAN,JPY,0.024291426,0.0241681132
JPN,2017-06-30,JAPAN,JPY,0.0264611982,0.0252525947
JPN,2017-07-31,JAPAN,JPY,0.0040787571,0.00395756
JPN,2017-08-31,JAPAN,JPY,0.0006028803,0.0002066883
JPN,2017-09-29,JAPAN,JPY,0.0406784875,0.0328135309
JPN,2017-10-31,JAPAN,JPY,0.051540821,0.0514709342
JPN,2017-11-30,JAPAN,JPY,0.0174093251,0.0173198173
JPN,2017-12-29,JAPAN,JPY,0.0142781742,0.0127129309
JPN,2018-01-31,JAPAN,JPY,0.0125899942,0.012481133
JPN,2018-02-28,JAPAN,JPY,-0.035721621,-0.036130095
JPN,2018-03-30,JAPAN,JPY,-0.017440611,-0.02678473
JPN,2018-04-27,JAPAN,JPY,0.0336176938,0.0335658151
JPN,2018-05-31,JAPAN,JPY,-0.01605861,-0.016161555
JPN,2018-06-29,JAPAN,JPY,-0.007032351,-0.008257234
JPN,2018-07-31,JAPAN,JPY,0.0107270831,0.0106071068
JPN,2018-08-31,JAPAN,JPY,-0.009333034,-0.009734504
JPN,2018-09-28,JAPAN,JPY,0.053601723,0.0454606637
JPN,2018-10-31,JAPAN,JPY,-0.091805965,-0.091894986
JPN,2018-11-30,JAPAN,JPY,0.0264864606,0.0263822323
JPN,2018-12-28,JAPAN,JPY,-0.100870969,-0.102516444
JPN,2019-01-31,JAPAN,JPY,0.0472088629,0.0470677331
JPN,2019-02-28,JAPAN,JPY,0.0273285395,0.0268227868
JPN,2019-03-29,JAPAN,JPY,0.0009266095,-0.009632715
JPN,2019-04-26,JAPAN,JPY,0.01759619,0.0175263603
JPN,2019-05-31,JAPAN,JPY,-0.061149368,-0.06127341
JPN,2019-06-28,JAPAN,JPY,0.0251832773,0.0236157175
JPN,2019-07-31,JAPAN,JPY,0.0111312872,0.0109878904
JPN,2019-08-30,JAPAN,JPY,-0.031469185,-0.031957817
JPN,2019-09-30,JAPAN,JPY,0.0572059717,0.0475616221
JPN,2019-10-31,JAPAN,JPY,0.0484153215,0.0483232945
JPN,2019-11-29,JAPAN,JPY,0.0208499954,0.0207392942
JPN,2019-12-30,JAPAN,JPY,0.0129828481,0.011346305
JPN,2020-01-31,JAPAN,JPY,-0.020613737,-0.020743426
JPN,2020-02-28,JAPAN,JPY,-0.100247036,-0.100842189
JPN,2020-03-31,JAPAN,JPY,-0.059557587,-0.070388983
JPN,2020-04-30,JAPAN,JPY,0.0438194265,0.0437393702
JPN,2020-05-29,JAPAN,JPY,0.0687891709,0.0686159624
JPN,2020-06-30,JAPAN,JPY,-0.000315941,-0.001605237
JPN,2020-07-31,JAPAN,JPY,-0.037738118,-0.037886471
JPN,2020-08-31,JAPAN,JPY,0.0785672848,0.0780835082
JPN,2020-09-30,JAPAN,JPY,0.0164542594,0.008518475
JPN,2020-10-30,JAPAN,JPY,-0.027026051,-0.027096785
JPN,2020-11-30,JAPAN,JPY,0.1049158296,0.1048055792
JPN,2020-12-30,JAPAN,JPY,0.0304422877,0.0289821164
JPN,2021-01-29,JAPAN,JPY,0.0029857014,0.0028609928
JPN,2021-02-26,JAPAN,JPY,0.0293546529,0.0289055052
JPN,2021-03-31,JAPAN,JPY,0.053484292,0.0438253543
JPN,2021-04-30,JAPAN,JPY,-0.027183287,-0.027242001
JPN,2021-05-31,JAPAN,JPY,0.0114083653,0.0111089237
JPN,2021-06-30,JAPAN,JPY,0.0149710508,0.0137048168
JPN,2021-07-30,JAPAN,JPY,-0.023126299,-0.023254736
JPN,2021-08-31,JAPAN,JPY,0.0314162248,0.0310017482
JPN,2021-09-30,JAPAN,JPY,0.0422383115,0.0323338853
JPN,2021-10-29,JAPAN,JPY,-0.01327753,-0.013337749
JPN,2021-11-30,JAPAN,JPY,-0.036448564,-0.036549703
JPN,2021-12-30,JAPAN,JPY,0.0303598223,0.0287976023
JPN,2022-01-31,JAPAN,JPY,-0.050702026,-0.050832523
JPN,2022-02-28,JAPAN,JPY,-0.005299245,-0.005779937
JPN,2022-03-31,JAPAN,JPY,0.0429493096,0.0312497601
JPN,2022-04-28,JAPAN,JPY,-0.02240085,-0.022460091
JPN,2022-05-31,JAPAN,JPY,0.0036338085,0.0034985175
JPN,2022-06-30,JAPAN,JPY,-0.01674661,-0.018272881
JPN,2022-07-29,JAPAN,JPY,0.0387187151,0.0385704688
JPN,2022-08-31,JAPAN,JPY,0.0120884062,0.0116427352
JPN,2022-09-30,JAPAN,JPY,-0.052905659,-0.061997787
JPN,2022-10-31,JAPAN,JPY,0.0496885863,0.0496223583
JPN,2022-11-30,JAPAN,JPY,0.0250331562,0.0249135504
JPN,2022-12-30,JAPAN,JPY,-0.045842309,-0.04759969
JPN,2023-01-31,JAPAN,JPY,0.0405639435,0.0404120101
JPN,2023-02-28,JAPAN,JPY,0.0096008024,0.0090826886
JPN,2023-03-31,JAPAN,JPY,0.0164927386,0.0046085849
